case_id,owner,phone,status,code,target,due_time,priority
943-00,Mira Patel,+1555011881,pending,D9430,Audio manifest produces transcript status,2026-07-23 08:30,normal
943-01,Jon Bell,+1555011882,pending,D9431,Audio manifest produces transcript status,2026-07-24 09:30,normal
943-02,Nadia Ross,+1555011883,pending,D9432,Audio manifest produces transcript status,2026-07-10 10:30,normal
943-A,Grace Kim,+1555011888,approved,,Audio manifest produces transcript status,2026-07-11 11:30,high
943-04,Elena Cruz,+1555011885,pending,D9434,Audio manifest produces transcript status,2026-07-12 12:30,normal
943-05,Priya Shah,+1555011886,pending,D9435,Audio manifest produces transcript status,2026-07-13 13:30,normal
943-06,Owen Park,+1555011887,pending,D9436,Audio manifest produces transcript status,2026-07-14 14:30,normal
943-D,Grace Kim,+1555011888,hold,D9437,Audio manifest produces transcript status,2026-07-15 15:30,normal
943-08,Mira Patel,+1555011881,pending,D9438,Audio manifest produces transcript status,2026-07-16 16:30,normal
943-09,Jon Bell,+1555011882,pending,D9439,Audio manifest produces transcript status,2026-07-17 08:30,normal
943-10,Nadia Ross,+1555011883,pending,D94310,Audio manifest produces transcript status,2026-07-18 09:30,normal
943-11,Tao Lin,+1555011884,pending,D94311,Audio manifest produces transcript status,2026-07-19 10:30,normal
